name,model,M,chi2,z,t0,amplitude,mwebv,mwr_v
SNAD119,nugent-sn1a,-22.21584347956202,2882.636668260479,0.28526156587079,58303.45654475127,2.1548566451982287e-08,0.04,3.1
SNAD119,nugent-sn91t,-22.341520481589786,3073.776658130114,0.29999999944717637,58299.54927082826,1.8182048595866872e-08,0.04,3.1
SNAD119,nugent-sn2l,-19.49085783827856,3596.950439718162,0.0911561205757294,58311.10828197035,3.3192600735409135e-08,0.04,3.1
SNAD119,nugent-sn2p,-20.012307419775755,4289.988896201693,0.11415255780429488,58309.15533162293,2.2265586554917253e-08,0.04,3.1
SNAD119,nugent-sn91bg,-20.31407740427689,4445.32865471003,0.1298558998733799,58310.75571203261,3.253180908336122e-08,0.04,3.1
SNAD119,nugent-hyper,-20.490189622797846,4617.476330364583,0.13993454881162526,58309.70313865469,2.7241438822694504e-08,0.04,3.1
SNAD119,nugent-sn1bc,-21.07946925136169,4965.061766206074,0.1792209987483183,58306.89001956419,2.5924025907888296e-08,0.04,3.1
SNAD120,nugent-sn2p,-19.66708717362286,732.6015478001309,0.13003649481994928,58288.948002138364,2.025649522771521e-08,0.05,3.1
SNAD120,nugent-sn2n,-21.69126325666234,2194.7868758457803,0.2999999724538336,58299.120723902044,1.379211498046903e-08,0.05,3.1
SNAD120,nugent-sn91t,-20.870098687084393,2499.857879794601,0.21506229809445657,58290.28376460856,1.6240520943700988e-08,0.05,3.1
SNAD120,nugent-hyper,-18.370687231463975,2550.4128096650484,0.07426494682170602,58292.18573553372,2.3906570476702045e-08,0.05,3.1
SNAD120,nugent-sn1a,-21.00706856245499,3111.9037477526126,0.22747870636672693,58299.84319167381,1.7797909358862157e-08,0.05,3.1
SNAD120,nugent-sn1bc,-20.07123173613347,3628.2736119421966,0.1542847059464117,58296.902891067366,1.843673221449269e-08,0.05,3.1
SNAD120,nugent-sn2l,-21.21570700062695,3647.3721274208765,0.24766723863709378,58303.22458917096,2.182073575438524e-08,0.05,3.1
SNAD120,nugent-sn91bg,-20.267553057065996,4216.138207504304,0.1675292678516391,58298.12485498771,2.128535968361898e-08,0.05,3.1
SNAD121,nugent-sn2n,-21.415931253911257,488.5721988874594,0.2999999721236793,58341.96862715949,7.142956429839705e-09,0.03,3.1
SNAD121,nugent-sn91t,-20.08628408545768,702.2360158166277,0.1742429876994791,58334.69178107644,9.282422033197721e-09,0.03,3.1
SNAD121,nugent-sn2p,-13.640897495373782,738.2803799741821,0.010000068202819175,58344.46954251117,1.2611901144827596e-08,0.03,3.1
SNAD121,nugent-sn1a,-20.040904970166967,851.3843329332334,0.1709734647767088,58338.17253536543,1.0838903762497149e-08,0.03,3.1
SNAD121,nugent-hyper,-13.640882575940356,996.9168779263972,0.010000000011074376,58345.650486383136,1.5714658124995873e-08,0.03,3.1
SNAD121,nugent-sn1bc,-19.759176125568718,1306.0434022874506,0.1519181680379783,58341.98882178193,1.1428318364512617e-08,0.03,3.1
SNAD121,nugent-sn2l,-19.369110322478125,1731.1973227481117,0.12878945928342062,58343.25398968435,1.5315122537608977e-08,0.03,3.1
SNAD121,nugent-sn91bg,-17.702070407881383,2063.195019114014,0.062470853313216376,58345.38041672809,1.3695375824649655e-08,0.03,3.1
SNAD122,nugent-sn2p,-20.345425925747662,1104.1947100862535,0.15529959024715423,58255.26374234902,2.3138462405463194e-08,0.01,3.1
SNAD122,nugent-sn91t,-20.397811301147343,1482.5024990770853,0.1587559513980441,58247.637717904174,2.0489973731318755e-08,0.01,3.1
SNAD122,nugent-hyper,-18.232091767828223,1654.8625561801484,0.06236298085590429,58256.77720894549,2.8003535379732356e-08,0.01,3.1
SNAD122,nugent-sn2n,-21.949869475447443,1977.9481983950993,0.299999998710039,58254.777990701616,1.578580587329168e-08,0.01,3.1
SNAD122,nugent-sn1a,-20.4416409815706,1980.9871847606998,0.16170271492596477,58251.10191974901,2.282486880676334e-08,0.01,3.1
SNAD122,nugent-sn1bc,-20.235873493634678,2433.854978955688,0.14829689149834638,58254.67968932075,2.1914186780784012e-08,0.01,3.1
SNAD122,nugent-sn2l,-21.469958691553714,3538.2111715231254,0.24722955605191088,58257.800975509934,2.588344945636936e-08,0.01,3.1
SNAD122,nugent-sn91bg,-18.915518746121535,4034.9991052289647,0.08415830897022003,58258.46850052314,2.4854708912799275e-08,0.01,3.1
SNAD123,nugent-sn1a,-19.842284275247323,2801.5398033976876,0.10210823925366924,58184.92143430414,2.950823978352095e-08,0.03,3.1
SNAD123,nugent-sn91t,-20.767139932236717,3262.6816846476286,0.1514805559666485,58179.40558960947,2.4626185598166585e-08,0.03,3.1
SNAD123,nugent-sn2l,-19.402100533233416,3573.285298475983,0.08436779998487319,58192.93374544375,4.2859053750978154e-08,0.03,3.1
