name,model,M,chi2,z,t0,amplitude,mwebv,mwr_v
SNAD223,nugent-sn2l,-19.59493633366376,2406.026503056413,0.1247605748136298,58221.46642310022,1.1795961059246184e-08,0.02,3.1
SNAD224,nugent-sn2n,-19.57280621455965,1894.374843598155,0.1074801630618265,58276.53543778912,7.955416290243846e-09,0.07,3.1
SNAD225,nugent-sn2l,-21.972991389424823,3288.963031574982,0.2126873228748054,58196.33920539197,2.5670914126651593e-08,0.03,3.1
SNAD226,nugent-sn1a,-21.39379648449133,2331.6681238823858,0.2999999997953878,58228.52826114719,3.857305925092375e-09,0.02,3.1
SNAD227,nugent-sn2l,-18.77969925530471,1602.3860214542287,0.092602279749477,58188.898725452025,1.0747352578607948e-08,0.01,3.1
SNAD228,nugent-sn2l,-18.492043286437266,1097.1138826046754,0.0853996646762636,58310.17589290856,1.2838648792097962e-08,0.1,3.1
SNAD229,nugent-sn2l,-20.980371419422116,12430.601767808172,0.162002787769371,58234.92063948858,1.0593054743756931e-08,0.01,3.1
SNAD230,nugent-sn2l,-16.484635680424972,5503.359532733315,0.0289240536061296,58274.39659267484,1.0299250205603805e-08,0.01,3.1
SNAD231,nugent-sn1a,-20.24295136382029,1444.0698328349388,0.1978321682562499,58208.28186113853,4.4472464463880795e-09,0.01,3.1
SNAD232,nugent-sn2n,-14.797342670283438,4895.978981281511,0.0100000004422836,58227.86724722089,1.8272325417034737e-08,0.03,3.1
SNAD233,nugent-sn2l,-17.454578804203436,2316.1845892046085,0.0532638814579185,58224.9053540746,1.23427872825325e-08,0.05,3.1
SNAD234,nugent-sn1a,-21.73672628895929,2389.726704528738,0.2999999763297619,58205.69088000609,4.9813237103373405e-09,0.02,3.1
SNAD235,nugent-sn2p,-19.054647968487817,2856.2821836631565,0.119967766940027,58193.92324907036,5.2139839054581805e-09,0.03,3.1
SNAD236,nugent-sn2l,-22.43838810730831,10820.470214889752,0.220478957041278,58193.24851429896,5.7454418502161994e-08,0.03,3.1
SNAD237,nugent-sn2n,-22.691839307865184,3983.02237998518,0.2999999785986415,58278.89080827004,1.4216635596611192e-08,0.07,3.1
SNAD238,nugent-sn2p,-14.399801928667031,9045.585660057288,0.0100000107645711,58249.3188751582,3.236012699090229e-09,0.02,3.1
SNAD239,nugent-sn2n,-13.62601849894379,1553.2460059131113,0.0100000088004545,58294.87648305176,5.577310587385891e-09,0.02,3.1
SNAD240,nugent-sn2n,-15.819292530837116,1509.4128141151546,0.0235282829722889,58241.27905090551,7.240836027023524e-09,0.03,3.1
SNAD241,nugent-sn2l,-18.80969050016696,2743.393777235781,0.0888300097766242,58217.78257544921,6.879691071959452e-09,0.03,3.1
SNAD242,nugent-sn2p,-17.45683646305449,3499.207367804525,0.0408123045765434,58269.474059667984,1.2781112962081415e-08,0.02,3.1
SNAD243,nugent-sn2p,-20.67467413925013,10586.565462437966,0.1173671232072332,58203.64320580457,2.987360854769932e-08,0.03,3.1
SNAD244,nugent-sn2l,-19.63718201326833,2775.7371131338145,0.1244335625439802,58200.32412545713,1.264911898868501e-08,0.05,3.1
